"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","commentLikeCount","commentPublishedAt","commentUpdatedAt","commentId","parentId","moderationStatus","videoPublishedAt","videoTitle","videoChannelTitle"
"3547","NcFoi1q9Cf4","@abueloraton by pay dearly you mean lose their job and get away virtually with no punishment other than that you&#39;re right. Time and time again police are never held accountable for their actions.","@abueloraton by pay dearly you mean lose their job and get away virtually with no punishment other than that you're right. Time and time again police are never held accountable for their actions.","My Back Hurts","https://yt3.ggpht.com/a/AATXAJzWU_D4xnb-S8J5qFiDmck3RMBbKfbYTgXOaw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6mvpPEfdMkt_9P6Ab2fbww","UC6mvpPEfdMkt_9P6Ab2fbww","TRUE","none","0","2020-05-29T16:54:46Z","2020-05-29T16:54:46Z","UgzvnqfrsJ-CpXk_twh4AaABAg.99CRzrUsJSR99FNYMoCzx5","UgzvnqfrsJ-CpXk_twh4AaABAg",NA,2020-05-27 17:16:26,"Full cell phone video of George Floyd Police Incident (complete video)","djsylert"
"3548","NcFoi1q9Cf4","My Back Hurts I don&#39;t agree: they made a fatal mistake and will pay dearly","My Back Hurts I don't agree: they made a fatal mistake and will pay dearly","abueloraton","https://yt3.ggpht.com/a/AATXAJyd3AWeM_J3gAlGnKrsi40vj1FTuXRNFkJ53Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCydDtO2K2VHSbBb767O_apg","UCydDtO2K2VHSbBb767O_apg","TRUE","none","0","2020-05-29T11:31:16Z","2020-05-29T11:31:16Z","UgzvnqfrsJ-CpXk_twh4AaABAg.99CRzrUsJSR99EnX-25VO5","UgzvnqfrsJ-CpXk_twh4AaABAg",NA,2020-05-27 17:16:26,"Full cell phone video of George Floyd Police Incident (complete video)","djsylert"
"3549","NcFoi1q9Cf4","Dodo Artémis Interdite pourquoi?","Dodo Artémis Interdite pourquoi?","abueloraton","https://yt3.ggpht.com/a/AATXAJyd3AWeM_J3gAlGnKrsi40vj1FTuXRNFkJ53Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCydDtO2K2VHSbBb767O_apg","UCydDtO2K2VHSbBb767O_apg","TRUE","none","0","2020-05-29T11:42:03Z","2020-05-29T11:42:03Z","UgwbYecfkAC7pi76UCp4AaABAg.99CQpNdI5JG99Eoks_F-Wd","UgwbYecfkAC7pi76UCp4AaABAg",NA,2020-05-27 17:16:26,"Full cell phone video of George Floyd Police Incident (complete video)","djsylert"
"3550","NcFoi1q9Cf4","@abueloraton No, but everything after he is dead should not be shown either. I think the way the media present the video is more than enough to show just how gruesome the scene was. The only reason I watched this, was because I had a hard time believing that the cop kept sitting on his neck for several minutes after George stopped breathing and that noone started CPR. But he really did keep pressure on his neck and not even the paramedics started CPR when they arrived on scene. I honestly still can&#39;t believe it.","@abueloraton No, but everything after he is dead should not be shown either. I think the way the media present the video is more than enough to show just how gruesome the scene was. The only reason I watched this, was because I had a hard time believing that the cop kept sitting on his neck for several minutes after George stopped breathing and that noone started CPR. But he really did keep pressure on his neck and not even the paramedics started CPR when they arrived on scene. I honestly still can't believe it.","Kicka Syberg","https://yt3.ggpht.com/a/AATXAJxBgbtlXwi6TM0BGi0a5MA7JUNrdQoVjIG8Ng=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC7KZbqWFzOECuoTQs3m70mw","UC7KZbqWFzOECuoTQs3m70mw","TRUE","none","0","2020-05-29T12:06:26Z","2020-05-29T12:07:00Z","UgzDCx9mee9egfriYFN4AaABAg.99COs6zVDjX99ErYY5nTRG","UgzDCx9mee9egfriYFN4AaABAg",NA,2020-05-27 17:16:26,"Full cell phone video of George Floyd Police Incident (complete video)","djsylert"
"3551","NcFoi1q9Cf4","Kicka Syberg No. I am referring to the way they cut it off in different parts--not only the moment he dies is cut out.","Kicka Syberg No. I am referring to the way they cut it off in different parts--not only the moment he dies is cut out.","abueloraton","https://yt3.ggpht.com/a/AATXAJyd3AWeM_J3gAlGnKrsi40vj1FTuXRNFkJ53Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCydDtO2K2VHSbBb767O_apg","UCydDtO2K2VHSbBb767O_apg","TRUE","none","0","2020-05-29T11:37:21Z","2020-05-29T11:37:21Z","UgzDCx9mee9egfriYFN4AaABAg.99COs6zVDjX99EoDTE54fG","UgzDCx9mee9egfriYFN4AaABAg",NA,2020-05-27 17:16:26,"Full cell phone video of George Floyd Police Incident (complete video)","djsylert"
"3552","NcFoi1q9Cf4","Paul Borst Ablut ten seconds are missing at the beginning, though.","Paul Borst Ablut ten seconds are missing at the beginning, though.","abueloraton","https://yt3.ggpht.com/a/AATXAJyd3AWeM_J3gAlGnKrsi40vj1FTuXRNFkJ53Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCydDtO2K2VHSbBb767O_apg","UCydDtO2K2VHSbBb767O_apg","TRUE","none","0","2020-05-29T11:35:31Z","2020-05-29T11:35:31Z","UgzDCx9mee9egfriYFN4AaABAg.99COs6zVDjX99Eo02-v81f","UgzDCx9mee9egfriYFN4AaABAg",NA,2020-05-27 17:16:26,"Full cell phone video of George Floyd Police Incident (complete video)","djsylert"
"3553","NcFoi1q9Cf4","@abueloraton yes, but I honestly think that&#39;s because everybody who watches this video can tell the exact moment George dies. And that&#39;s not something that should be shown on the news. That&#39;s not only disturbing, it&#39;s horrifying","@abueloraton yes, but I honestly think that's because everybody who watches this video can tell the exact moment George dies. And that's not something that should be shown on the news. That's not only disturbing, it's horrifying","Kicka Syberg","https://yt3.ggpht.com/a/AATXAJxBgbtlXwi6TM0BGi0a5MA7JUNrdQoVjIG8Ng=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC7KZbqWFzOECuoTQs3m70mw","UC7KZbqWFzOECuoTQs3m70mw","TRUE","none","3","2020-05-28T21:36:36Z","2020-05-28T21:36:36Z","UgzDCx9mee9egfriYFN4AaABAg.99COs6zVDjX99DJ-i32Hgq","UgzDCx9mee9egfriYFN4AaABAg",NA,2020-05-27 17:16:26,"Full cell phone video of George Floyd Police Incident (complete video)","djsylert"
"3554","NcFoi1q9Cf4","Paul Borst The media make it look less malicious.","Paul Borst The media make it look less malicious.","abueloraton","https://yt3.ggpht.com/a/AATXAJyd3AWeM_J3gAlGnKrsi40vj1FTuXRNFkJ53Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCydDtO2K2VHSbBb767O_apg","UCydDtO2K2VHSbBb767O_apg","TRUE","none","1","2020-05-28T13:43:30Z","2020-05-28T13:43:30Z","UgzDCx9mee9egfriYFN4AaABAg.99COs6zVDjX99CSrZEMts0","UgzDCx9mee9egfriYFN4AaABAg",NA,2020-05-27 17:16:26,"Full cell phone video of George Floyd Police Incident (complete video)","djsylert"
"3555","NcFoi1q9Cf4","Nick Scott They don&#39;t eat healthy food.","Nick Scott They don't eat healthy food.","abueloraton","https://yt3.ggpht.com/a/AATXAJyd3AWeM_J3gAlGnKrsi40vj1FTuXRNFkJ53Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCydDtO2K2VHSbBb767O_apg","UCydDtO2K2VHSbBb767O_apg","TRUE","none","0","2020-05-29T11:55:03Z","2020-05-29T11:55:03Z","UgyiWmbRNpxC2GYTOp14AaABAg.99CO7_wXiqd99EqF5N3WL3","UgyiWmbRNpxC2GYTOp14AaABAg",NA,2020-05-27 17:16:26,"Full cell phone video of George Floyd Police Incident (complete video)","djsylert"
"3556","NcFoi1q9Cf4","Perla Javier ¿Atacar a los policías? Yo hubiera llamado a emergencia y notificado que lo estaban matando. ¡Lo que pasa es que esto ocurrió demasiado rápido! ¿Cómo iban a adivinar que lo matarían? Ni yo mismo hubiera creído tanta incompetencia e imbecilidad de parte de la policía.","Perla Javier ¿Atacar a los policías? Yo hubiera llamado a emergencia y notificado que lo estaban matando. ¡Lo que pasa es que esto ocurrió demasiado rápido! ¿Cómo iban a adivinar que lo matarían? Ni yo mismo hubiera creído tanta incompetencia e imbecilidad de parte de la policía.","abueloraton","https://yt3.ggpht.com/a/AATXAJyd3AWeM_J3gAlGnKrsi40vj1FTuXRNFkJ53Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCydDtO2K2VHSbBb767O_apg","UCydDtO2K2VHSbBb767O_apg","TRUE","none","0","2020-05-29T11:58:05Z","2020-05-29T11:58:05Z","UgxuOTdMzhzzPUb3Jph4AaABAg.99CLyUDqqgx99EqaO72aPs","UgxuOTdMzhzzPUb3Jph4AaABAg",NA,2020-05-27 17:16:26,"Full cell phone video of George Floyd Police Incident (complete video)","djsylert"
